OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072613,E01014375,137,0,0,0,0,2,0,0,2,2,0,1,1,2,0,0,2,0,1,2,3,0,1,0,0,1,1,1,1,0,1,0,1,2,0,1,2,2,1,1,0,1,0,3,0,2,2,4,2,4,6,3,3,1,4,5,2,2,2,1,3,3,4,0,0,0,1,4,2,3,3,2,2,3,1,4,0,5,2,4,4,1,1,0,0,0,1,1,0,0,0,2
E00072598,E01014376,154,0,2,0,0,0,4,0,0,4,2,0,3,1,1,2,0,3,1,3,0,0,0,1,1,1,0,5,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,2,2,3,3,5,2,0,0,3,5,3,3,4,6,1,2,1,2,3,2,2,3,2,1,2,4,6,6,3,4,4,5,3,2,2,2,3,0,1,0,2,0,1,0,0,2
E00072603,E01014376,154,1,0,2,1,1,2,1,0,1,2,1,0,3,1,1,0,3,2,2,2,2,0,1,1,1,0,1,3,0,0,1,1,0,1,1,0,1,0,1,2,2,1,2,3,0,3,5,3,1,3,2,2,3,3,5,3,2,1,1,5,1,2,5,1,1,2,1,7,1,1,10,2,0,0,1,2,1,0,5,1,1,0,2,0,1,0,2,2,1,0,8
E00072604,E01014376,173,1,1,2,1,3,2,5,4,2,4,2,4,2,3,4,1,3,2,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,3,0,5,2,4,4,1,2,0,4,2,5,1,3,1,7,5,4,0,5,3,0,4,1,4,2,1,0,2,3,2,4,2,3,2,1,1,1,2,0,3,0,1,3,1,1,2,0,0,4,0,1,0,1,0,3
E00072605,E01014376,138,2,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,2,2,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,4,1,0,2,3,3,1,3,2,2,3,3,2,4,2,3,1,1,3,4,3,5,5,0,1,2,5,1,1,1,3,4,4,1,2,4,2,2,7,1,0,2,0,3,2,2,1,2,0,2
E00072606,E01014376,138,0,2,0,1,1,1,2,2,4,2,0,1,1,1,1,2,2,0,0,0,1,0,1,0,1,0,1,4,3,0,0,1,1,2,1,0,2,2,4,1,3,2,2,5,4,2,2,3,1,2,0,3,2,2,3,1,2,2,5,1,1,1,4,0,0,2,4,2,2,0,4,0,3,2,1,3,6,0,1,3,0,0,0,2,1,0,0,0,0,0,1
E00072588,E01014377,129,0,3,1,1,3,2,0,2,2,2,2,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,3,3,2,4,2,3,0,0,3,0,1,5,0,2,2,0,1,0,1,1,3,2,3,1,3,3,2,1,0,2,0,2,1,0,4,3,3,1,2,3,6,4,2,2,1,2,2,1,1,0,2,0,0,1
E00072589,E01014377,154,2,3,4,3,4,1,0,3,2,3,3,2,0,2,1,1,1,3,0,1,1,1,0,0,0,3,1,1,1,1,2,1,3,0,1,3,2,3,4,2,0,1,1,6,1,1,2,3,1,1,3,2,0,2,3,2,3,2,1,3,2,4,0,2,2,2,1,2,4,2,3,2,1,1,2,1,0,1,0,1,2,3,1,3,2,0,1,2,0,0,0
E00072590,E01014377,123,1,1,0,1,1,2,1,1,2,0,1,0,2,0,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,1,1,1,2,3,1,1,2,2,0,2,1,1,0,1,2,1,1,0,4,3,2,3,2,2,0,1,4,0,3,4,3,0,3,0,2,2,6,4,2,3,3,4,1,4,3,2,1,2
E00072591,E01014377,137,2,3,0,3,0,0,0,2,3,1,3,1,2,2,2,1,2,3,6,2,0,1,1,0,0,1,0,0,0,2,0,1,2,3,3,1,1,0,4,3,2,1,2,2,3,3,1,1,4,2,2,3,1,3,3,1,3,1,1,2,0,1,1,0,2,5,1,0,2,2,5,1,1,0,2,3,1,1,0,1,2,2,2,0,0,0,0,0,0,0,0
E00072592,E01014377,117,0,0,0,5,0,0,0,0,1,0,0,1,0,1,1,0,2,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,1,1,2,3,1,1,4,1,1,2,2,1,1,1,3,1,1,2,1,2,3,0,2,0,4,0,4,1,1,0,4,4,2,3,0,5,1,0,2,3,3,5,1,3,4,2,3,0,3
E00072611,E01014377,65,0,0,1,1,2,1,0,3,1,1,1,2,1,1,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,2,2,1,1,1,0,2,1,1,1,0,0,0,1,1,2,1,2,0,1,1,1,1,0,4,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
E00072624,E01014379,158,3,3,3,2,1,2,1,0,0,3,0,2,1,4,1,4,1,1,1,4,0,2,0,0,1,1,1,1,2,1,1,1,1,1,2,0,4,1,0,1,1,1,2,4,3,2,0,1,4,3,4,2,3,3,1,0,3,1,4,0,0,1,2,5,6,4,1,2,1,2,5,5,3,0,2,1,3,2,0,2,0,0,1,1,0,1,1,3,1,0,3
E00072625,E01014379,174,2,1,2,6,1,0,2,3,3,2,4,1,3,0,4,1,4,5,2,1,1,2,1,0,0,1,3,2,2,1,2,2,3,0,0,4,3,2,2,0,4,3,3,4,2,2,2,6,3,2,2,3,1,4,3,2,5,2,3,2,1,2,2,2,1,0,1,2,3,2,2,2,4,0,2,1,2,0,1,0,0,0,1,1,1,1,0,2,0,1,1
E00072626,E01014379,77,0,1,0,0,0,0,1,1,0,0,2,0,0,2,2,2,3,4,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2,1,1,0,2,2,0,0,2,2,1,3,2,1,3,1,0,3,2,0,1,0,0,2,2,2,1,1,0,1,0,1,0,1,1,2,1,1,0,0,1,0,2,0,0,0,0
E00072627,E01014379,115,0,2,3,2,3,1,2,1,2,2,2,2,2,1,2,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,1,2,0,1,3,4,0,1,5,1,2,1,3,1,1,3,3,1,2,3,2,2,2,4,1,1,0,0,3,1,2,0,3,4,2,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
E00072628,E01014379,142,1,0,1,2,1,1,1,0,0,3,1,1,1,1,3,2,2,7,2,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,2,0,0,1,1,6,3,1,2,4,2,2,2,2,5,1,3,3,1,2,5,2,0,1,2,0,3,2,2,5,4,0,1,0,6,3,2,2,3,5,2,2,0,0,0,0,2,0,0,1,1,1,1,0
E00072629,E01014379,152,2,0,3,0,1,0,1,3,0,1,2,1,4,1,2,3,1,1,2,1,1,1,2,0,1,2,1,0,2,1,1,0,0,1,2,3,1,1,2,2,0,4,1,2,3,4,4,3,1,4,2,2,5,4,2,2,7,1,2,2,2,2,2,1,2,3,3,1,4,1,5,0,2,0,1,3,1,1,2,1,2,1,0,0,0,0,1,0,2,0,1
E00072630,E01014379,572,1,0,1,0,4,0,0,2,0,0,0,0,1,1,1,0,0,1,54,232,104,44,28,9,7,5,3,1,1,2,1,0,1,1,1,2,4,1,2,2,2,0,3,1,1,1,1,3,2,2,1,1,0,0,2,2,3,1,3,1,2,2,1,3,0,2,2,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,4,1,0,0,0
E00072631,E01014379,113,0,0,0,3,0,1,3,3,0,2,3,0,1,0,0,0,2,1,1,1,0,1,3,1,0,1,0,1,0,0,0,0,1,0,2,3,0,1,0,0,4,1,4,1,2,2,0,0,4,1,0,3,1,0,2,2,2,3,4,4,1,0,1,1,3,4,2,0,4,4,3,3,3,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0
E00072632,E01014380,131,0,0,2,2,2,1,1,2,3,3,1,1,1,1,3,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,2,0,2,1,1,1,1,3,0,1,2,1,0,0,3,2,0,0,1,1,4,3,1,3,0,6,2,1,3,4,5,1,3,0,3,4,1,5,3,2,0,1,4,3,1,4,1,3,1,1,1,0,1,0,1
E00072633,E01014380,154,2,0,2,2,3,3,2,0,3,6,1,2,0,0,1,1,3,4,0,1,3,1,1,0,0,1,0,2,0,2,1,5,0,3,3,3,2,3,2,3,1,2,2,3,4,4,1,0,3,1,2,1,0,4,0,0,3,5,5,0,1,0,2,3,2,1,1,1,5,2,1,1,1,0,0,2,0,0,0,2,1,2,0,4,0,3,3,3,0,1,0
E00072640,E01014380,176,0,1,1,1,1,0,0,3,0,0,1,1,2,3,1,4,1,1,2,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,2,1,2,4,0,1,2,4,2,0,2,1,2,3,3,1,1,5,0,2,4,1,6,1,4,4,2,0,6,2,3,3,3,2,2,4,2,5,4,1,2,4,1,3,4,4,1,6,19
E00170254,E01014380,1399,0,0,0,2,1,3,1,0,1,3,2,0,2,2,1,2,2,5,154,676,234,93,43,36,28,7,3,1,2,4,4,2,4,4,2,0,0,1,1,3,0,2,1,3,1,2,2,1,2,2,4,1,1,2,1,1,1,1,2,3,0,1,2,3,3,2,3,0,2,0,0,1,1,2,1,2,0,2,2,0,1,2,2,0,3,0,1,1,0,0,0
E00170257,E01014380,59,0,0,0,1,2,0,0,0,0,0,2,1,0,0,2,0,1,3,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,2,0,3,2,1,1,2,0,3,2,2,0,0,1,3,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
E00072634,E01014381,141,0,0,0,1,2,2,0,0,1,0,2,1,1,1,1,2,1,2,2,3,1,0,0,0,3,2,3,1,0,1,0,1,2,2,1,0,0,0,0,1,1,2,1,1,2,1,0,1,2,2,2,3,1,1,5,2,3,1,3,3,3,1,5,2,1,0,0,1,3,0,6,2,2,3,2,3,2,2,1,1,2,3,0,3,0,5,2,1,2,1,5
E00072635,E01014381,145,1,1,0,0,1,1,0,1,2,2,2,4,1,1,0,2,1,4,3,0,1,1,0,0,2,2,0,0,1,2,1,0,1,0,0,1,1,0,1,2,2,2,2,1,3,2,5,3,3,2,5,3,1,1,1,2,4,0,3,0,1,1,6,1,2,1,1,3,1,1,1,0,2,2,3,2,1,0,2,2,0,0,2,1,1,3,3,0,0,1,13
E00072636,E01014381,232,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,5,11,29,38,12,10,9,2,4,2,1,4,3,0,2,2,3,1,3,0,3,0,1,3,2,1,4,1,1,1,2,2,1,3,2,2,1,1,1,0,1,1,2,0,1,1,1,1,0,3,3,2,4,2,7,2,1,1,1,2,3,2,0,1,0,2,4,1,0,3
E00072637,E01014381,131,1,0,1,0,0,1,1,0,2,1,1,0,0,1,2,1,2,2,1,3,3,2,0,2,0,1,0,1,1,0,0,0,1,3,0,1,1,1,2,0,0,1,1,2,2,0,3,0,1,1,1,1,1,2,0,2,0,0,6,1,4,1,4,3,3,0,0,0,3,0,1,1,2,2,1,0,0,4,4,2,3,3,3,2,3,4,3,1,0,1,9
